N,N_UNIQUE,DURATION_NS,DURATION_OVER_N_LOGN,ALGORITHM_TYPE,ALGORITHM_NAME
2511,2511,3361940,171,SORTING ALGORITHM,MERGE SORT
2818,11,5018234,224,SORTING ALGORITHM,MERGE SORT
2818,101,3806352,170,SORTING ALGORITHM,MERGE SORT
2818,941,3772974,168,SORTING ALGORITHM,MERGE SORT
2818,2458,3705263,165,SORTING ALGORITHM,MERGE SORT
2818,2777,3674268,164,SORTING ALGORITHM,MERGE SORT
2818,2814,3633260,162,SORTING ALGORITHM,MERGE SORT
2818,2818,3690004,164,SORTING ALGORITHM,MERGE SORT
2818,2818,3839969,171,SORTING ALGORITHM,MERGE SORT
3162,11,5376100,210,SORTING ALGORITHM,MERGE SORT
3162,101,4334211,170,SORTING ALGORITHM,MERGE SORT
3162,954,4228115,165,SORTING ALGORITHM,MERGE SORT
3162,2680,4170894,163,SORTING ALGORITHM,MERGE SORT
3162,3114,4186153,164,SORTING ALGORITHM,MERGE SORT
3162,3157,4204034,164,SORTING ALGORITHM,MERGE SORT
3162,3161,4066944,159,SORTING ALGORITHM,MERGE SORT
3162,3162,4172801,163,SORTING ALGORITHM,MERGE SORT
3548,11,6467819,223,SORTING ALGORITHM,MERGE SORT
3548,101,5011796,172,SORTING ALGORITHM,MERGE SORT
3548,977,4904985,169,SORTING ALGORITHM,MERGE SORT
3548,2971,4941940,170,SORTING ALGORITHM,MERGE SORT
3548,3496,4703044,162,SORTING ALGORITHM,MERGE SORT
3548,3540,4707098,162,SORTING ALGORITHM,MERGE SORT
3548,3548,4662990,160,SORTING ALGORITHM,MERGE SORT
3548,3548,4755973,163,SORTING ALGORITHM,MERGE SORT
3981,11,7693767,233,SORTING ALGORITHM,MERGE SORT
3981,101,5683898,172,SORTING ALGORITHM,MERGE SORT
3981,982,5457162,165,SORTING ALGORITHM,MERGE SORT
3981,3276,5567073,168,SORTING ALGORITHM,MERGE SORT
3981,3898,5531787,167,SORTING ALGORITHM,MERGE SORT
3981,3975,5644798,171,SORTING ALGORITHM,MERGE SORT
3981,3980,5440950,164,SORTING ALGORITHM,MERGE SORT
3981,3981,5540847,167,SORTING ALGORITHM,MERGE SORT
4466,11,8657932,230,SORTING ALGORITHM,MERGE SORT
4466,101,6438016,171,SORTING ALGORITHM,MERGE SORT
4466,998,6254196,166,SORTING ALGORITHM,MERGE SORT
4466,3597,6269931,167,SORTING ALGORITHM,MERGE SORT
4466,4377,6147861,163,SORTING ALGORITHM,MERGE SORT
4466,4458,6167888,164,SORTING ALGORITHM,MERGE SORT
4466,4465,6305217,167,SORTING ALGORITHM,MERGE SORT
4466,4466,6180286,164,SORTING ALGORITHM,MERGE SORT
5011,11,10235071,239,SORTING ALGORITHM,MERGE SORT
5011,101,7319211,171,SORTING ALGORITHM,MERGE SORT
5011,993,6980180,163,SORTING ALGORITHM,MERGE SORT
5011,3928,7031917,164,SORTING ALGORITHM,MERGE SORT
5011,4909,6896018,161,SORTING ALGORITHM,MERGE SORT
5011,4996,6887912,161,SORTING ALGORITHM,MERGE SORT
5011,5011,6866216,160,SORTING ALGORITHM,MERGE SORT
5011,5011,6963014,163,SORTING ALGORITHM,MERGE SORT
5623,11,12074947,248,SORTING ALGORITHM,MERGE SORT
5623,101,8276939,170,SORTING ALGORITHM,MERGE SORT
5623,999,8037090,165,SORTING ALGORITHM,MERGE SORT
5623,4294,7638931,157,SORTING ALGORITHM,MERGE SORT
5623,5482,8074998,166,SORTING ALGORITHM,MERGE SORT
5623,5606,7666349,157,SORTING ALGORITHM,MERGE SORT
5623,5620,7599115,156,SORTING ALGORITHM,MERGE SORT
5623,5622,7660150,157,SORTING ALGORITHM,MERGE SORT
6309,11,13458967,243,SORTING ALGORITHM,MERGE SORT
6309,101,9167909,166,SORTING ALGORITHM,MERGE SORT
6309,1001,8976221,162,SORTING ALGORITHM,MERGE SORT
6309,4674,8661985,156,SORTING ALGORITHM,MERGE SORT
6309,6070,8774042,158,SORTING ALGORITHM,MERGE SORT
6309,6290,8661985,156,SORTING ALGORITHM,MERGE SORT
6309,6307,8480072,153,SORTING ALGORITHM,MERGE SORT
6309,6309,8781194,159,SORTING ALGORITHM,MERGE SORT
7079,11,16406774,261,SORTING ALGORITHM,MERGE SORT
7079,101,10576009,168,SORTING ALGORITHM,MERGE SORT
7079,1000,10121107,161,SORTING ALGORITHM,MERGE SORT
7079,5059,9924173,158,SORTING ALGORITHM,MERGE SORT
7079,6846,10029077,159,SORTING ALGORITHM,MERGE SORT
